userid,itemid,rating,dc
10138,W_Completeren aanvraag0,5.0,1
10138,W_Nabellen incomplete dossiers0,5.538461538461538,1
10138,W_Nabellen incomplete dossiers1,4.9375,1
10138,W_Nabellen incomplete dossiers2,5.333333333333333,1
10138,W_Nabellen incomplete dossiers3,5.0,1
10138,W_Nabellen incomplete dossiers4,3.3333333333333335,1
10138,W_Nabellen offertes0,5.0,1
10138,W_Valideren aanvraag0,4.899328859060402,1
10138,W_Valideren aanvraag1,5.219653179190752,1
10138,W_Valideren aanvraag2,4.791208791208791,1
10138,W_Valideren aanvraag3,4.214285714285714,1
10138,W_Valideren aanvraag4,5.0,1
10138,W_Valideren aanvraag5,4.785714285714286,1
10609,W_Afhandelen leads0,4.0,1
10609,W_Afhandelen leads1,5.0,1
10609,W_Nabellen incomplete dossiers0,4.485714285714286,1
10609,W_Nabellen incomplete dossiers1,4.173913043478261,1
10609,W_Nabellen incomplete dossiers2,4.8,1
10609,W_Nabellen offertes0,5.0,1
10609,W_Nabellen offertes3,5.0,1
10609,W_Valideren aanvraag0,4.741433021806853,1
10609,W_Valideren aanvraag1,4.276923076923077,1
10609,W_Valideren aanvraag2,4.407407407407407,1
10609,W_Valideren aanvraag3,4.333333333333333,1
10609,W_Valideren aanvraag6,7.0,1
10629,W_Afhandelen leads0,4.857142857142857,1
10629,W_Afhandelen leads1,5.0,1
10629,W_Afhandelen leads2,4.0,1
10629,W_Afhandelen leads5,6.0,1
10629,W_Completeren aanvraag0,4.0,1
10629,W_Completeren aanvraag1,5.0,1
10629,W_Completeren aanvraag2,4.5,1
10629,W_Completeren aanvraag5,5.0,1
10629,W_Nabellen incomplete dossiers0,5.666666666666667,1
10629,W_Nabellen incomplete dossiers1,4.875,1
10629,W_Nabellen incomplete dossiers2,5.0,1
10629,W_Nabellen incomplete dossiers3,4.6,1
10629,W_Nabellen incomplete dossiers4,6.0,1
10629,W_Nabellen incomplete dossiers5,3.5,1
10629,W_Nabellen incomplete dossiers6,5.0,1
10629,W_Nabellen offertes3,1.0,1
10629,W_Nabellen offertes5,4.0,1
10629,W_Valideren aanvraag0,5.084507042253522,1
10629,W_Valideren aanvraag1,5.083333333333333,1
10629,W_Valideren aanvraag2,5.072727272727272,1
10629,W_Valideren aanvraag3,5.0,1
10629,W_Valideren aanvraag4,4.875,1
10629,W_Valideren aanvraag5,4.935483870967742,1
10629,W_Valideren aanvraag6,4.8,1
10789,W_Nabellen incomplete dossiers0,5.714285714285714,1
10789,W_Nabellen incomplete dossiers1,5.0,1
10789,W_Nabellen incomplete dossiers2,5.5,1
10789,W_Nabellen incomplete dossiers5,6.0,1
10789,W_Nabellen offertes0,5.0,1
10789,W_Nabellen offertes1,6.0,1
10789,W_Nabellen offertes2,5.0,1
10789,W_Nabellen offertes3,5.0,1
10789,W_Nabellen offertes4,6.0,1
10789,W_Nabellen offertes5,5.0,1
10809,W_Afhandelen leads2,6.0,1
10809,W_Afhandelen leads3,5.0,1
10809,W_Beoordelen fraude0,5.0,1
10809,W_Nabellen incomplete dossiers0,5.05,1
10809,W_Nabellen incomplete dossiers1,4.375,1
10809,W_Nabellen incomplete dossiers2,4.636363636363637,1
10809,W_Nabellen incomplete dossiers3,3.7,1
10809,W_Nabellen incomplete dossiers4,5.666666666666667,1
10809,W_Nabellen incomplete dossiers5,5.4,1
10809,W_Nabellen incomplete dossiers6,6.0,1
10809,W_Nabellen offertes0,4.0,1
10809,W_Nabellen offertes2,3.0,1
10809,W_Nabellen offertes3,3.0,1
10809,W_Valideren aanvraag0,4.8076923076923075,1
10809,W_Valideren aanvraag1,4.630952380952381,1
10809,W_Valideren aanvraag2,4.888888888888889,1
10809,W_Valideren aanvraag3,4.826086956521739,1
10809,W_Valideren aanvraag4,4.25,1
10809,W_Valideren aanvraag5,5.0,1
10809,W_Valideren aanvraag6,4.0,1
10809,W_Valideren aanvraag7,4.75,1
10861,W_Afhandelen leads0,4.888888888888889,1
10861,W_Afhandelen leads1,4.666666666666667,1
10861,W_Afhandelen leads2,3.75,1
10861,W_Afhandelen leads4,5.0,1
10861,W_Afhandelen leads5,6.0,1
10861,W_Afhandelen leads6,5.0,1
10861,W_Completeren aanvraag0,4.7368421052631575,1
10861,W_Completeren aanvraag1,4.948717948717949,1
10861,W_Completeren aanvraag2,4.9743589743589745,1
10861,W_Completeren aanvraag3,5.0,1
10861,W_Completeren aanvraag4,4.9,1
10861,W_Completeren aanvraag5,4.555555555555555,1
10861,W_Completeren aanvraag6,5.5,1
10861,W_Nabellen incomplete dossiers0,5.1923076923076925,1
10861,W_Nabellen incomplete dossiers1,4.833333333333333,1
10861,W_Nabellen incomplete dossiers2,5.125,1
10861,W_Nabellen incomplete dossiers3,4.578947368421052,1
10861,W_Nabellen incomplete dossiers5,5.5,1
10861,W_Nabellen incomplete dossiers6,6.0,1
10861,W_Nabellen offertes0,4.60377358490566,1
10861,W_Nabellen offertes1,4.883720930232558,1
10861,W_Nabellen offertes2,4.954545454545454,1
10861,W_Nabellen offertes3,4.5,1
10861,W_Nabellen offertes4,5.5,1
10861,W_Nabellen offertes5,5.142857142857143,1
10861,W_Valideren aanvraag0,7.0,1
10861,W_Valideren aanvraag1,7.0,1
10863,W_Afhandelen leads0,4.466666666666667,1
10863,W_Afhandelen leads1,4.142857142857143,1
10863,W_Afhandelen leads2,3.25,1
10863,W_Afhandelen leads3,5.0,1
10863,W_Afhandelen leads4,2.5,1
10863,W_Afhandelen leads5,5.0,1
10863,W_Completeren aanvraag0,4.777777777777778,1
10863,W_Completeren aanvraag1,4.523809523809524,1
10863,W_Completeren aanvraag2,4.428571428571429,1
10863,W_Completeren aanvraag3,5.0,1
10863,W_Completeren aanvraag5,4.6,1
10863,W_Nabellen incomplete dossiers0,5.0,1
10863,W_Nabellen incomplete dossiers1,4.666666666666667,1
10863,W_Nabellen incomplete dossiers2,4.625,1
10863,W_Nabellen incomplete dossiers3,4.5,1
10863,W_Nabellen incomplete dossiers4,5.0,1
10863,W_Nabellen incomplete dossiers5,4.0,1
10863,W_Nabellen incomplete dossiers6,5.0,1
10863,W_Nabellen offertes0,4.2,1
10863,W_Nabellen offertes1,3.9166666666666665,1
10863,W_Nabellen offertes2,4.5,1
10863,W_Nabellen offertes5,2.0,1
10863,W_Valideren aanvraag0,7.0,1
10881,W_Afhandelen leads0,5.0,1
10881,W_Afhandelen leads1,5.0,1
10881,W_Afhandelen leads2,5.4,1
10881,W_Afhandelen leads3,5.0,1
10881,W_Afhandelen leads4,5.0,1
10881,W_Completeren aanvraag0,4.784313725490196,1
10881,W_Completeren aanvraag1,4.857142857142857,1
10881,W_Completeren aanvraag2,4.7,1
10881,W_Completeren aanvraag3,4.75,1
10881,W_Completeren aanvraag4,4.5,1
10881,W_Completeren aanvraag5,5.0,1
10881,W_Completeren aanvraag6,6.0,1
10881,W_Nabellen incomplete dossiers0,5.344827586206897,1
10881,W_Nabellen incomplete dossiers1,4.730769230769231,1
10881,W_Nabellen incomplete dossiers2,5.166666666666667,1
10881,W_Nabellen incomplete dossiers3,4.6923076923076925,1
10881,W_Nabellen incomplete dossiers4,4.857142857142857,1
10881,W_Nabellen incomplete dossiers5,5.0,1
10881,W_Nabellen offertes0,4.851851851851852,1
10881,W_Nabellen offertes1,5.137254901960785,1
10881,W_Nabellen offertes2,5.0,1
10881,W_Nabellen offertes3,4.666666666666667,1
10881,W_Nabellen offertes4,5.636363636363637,1
10881,W_Nabellen offertes5,4.857142857142857,1
10881,W_Nabellen offertes7,5.0,1
10881,W_Valideren aanvraag0,7.0,1
10881,W_Valideren aanvraag1,7.0,1
10889,W_Afhandelen leads0,4.583333333333333,1
10889,W_Afhandelen leads1,4.875,1
10889,W_Afhandelen leads2,5.5,1
10889,W_Completeren aanvraag0,4.2,1
10889,W_Completeren aanvraag1,3.3333333333333335,1
10889,W_Completeren aanvraag2,4.333333333333333,1
10889,W_Completeren aanvraag3,5.0,1
10889,W_Nabellen incomplete dossiers0,4.571428571428571,1
10889,W_Nabellen incomplete dossiers1,4.5,1
10889,W_Nabellen incomplete dossiers2,4.571428571428571,1
10889,W_Nabellen incomplete dossiers3,4.25,1
10889,W_Nabellen incomplete dossiers4,5.0,1
10889,W_Nabellen incomplete dossiers5,4.0,1
10889,W_Nabellen offertes0,4.466666666666667,1
10889,W_Nabellen offertes1,4.777777777777778,1
10889,W_Nabellen offertes2,4.833333333333333,1
10889,W_Nabellen offertes3,4.6,1
10889,W_Nabellen offertes4,3.6666666666666665,1
10889,W_Nabellen offertes5,5.0,1
10899,W_Completeren aanvraag3,5.0,1
10899,W_Nabellen incomplete dossiers0,5.75,1
10899,W_Nabellen incomplete dossiers1,5.0588235294117645,1
10899,W_Nabellen incomplete dossiers2,5.333333333333333,1
10899,W_Nabellen incomplete dossiers3,5.666666666666667,1
10899,W_Nabellen incomplete dossiers4,6.0,1
10899,W_Nabellen incomplete dossiers5,5.833333333333333,1
10899,W_Nabellen offertes0,4.75,1
10899,W_Nabellen offertes1,4.333333333333333,1
10899,W_Nabellen offertes2,4.888888888888889,1
10899,W_Nabellen offertes3,4.6,1
10899,W_Nabellen offertes4,6.0,1
10899,W_Nabellen offertes5,6.0,1
10899,W_Valideren aanvraag3,7.0,1
10909,W_Afhandelen leads0,4.95,1
10909,W_Afhandelen leads1,5.0,1
10909,W_Afhandelen leads2,5.75,1
10909,W_Afhandelen leads3,5.0,1
10909,W_Afhandelen leads5,6.0,1
10909,W_Completeren aanvraag0,5.125,1
10909,W_Completeren aanvraag1,5.244897959183674,1
10909,W_Completeren aanvraag2,4.882352941176471,1
10909,W_Completeren aanvraag3,5.2105263157894735,1
10909,W_Completeren aanvraag4,5.0,1
10909,W_Completeren aanvraag5,5.0,1
10909,W_Nabellen incomplete dossiers0,4.5,1
10909,W_Nabellen incomplete dossiers1,4.75,1
10909,W_Nabellen incomplete dossiers2,4.8,1
10909,W_Nabellen incomplete dossiers3,5.0,1
10909,W_Nabellen incomplete dossiers4,4.0,1
10909,W_Nabellen incomplete dossiers5,5.5,1
10909,W_Nabellen incomplete dossiers6,5.5,1
10909,W_Nabellen offertes0,4.815384615384615,1
10909,W_Nabellen offertes1,4.948717948717949,1
10909,W_Nabellen offertes2,4.944444444444445,1
10909,W_Nabellen offertes3,4.947368421052632,1
10909,W_Nabellen offertes4,5.6,1
10909,W_Nabellen offertes5,5.125,1
10912,W_Afhandelen leads0,4.5,1
10912,W_Afhandelen leads1,5.0,1
10912,W_Afhandelen leads2,5.8,1
10912,W_Afhandelen leads3,5.0,1
10912,W_Afhandelen leads4,5.0,1
10912,W_Completeren aanvraag0,4.354166666666667,1
10912,W_Completeren aanvraag1,3.9782608695652173,1
10912,W_Completeren aanvraag2,4.75,1
10912,W_Completeren aanvraag3,4.461538461538462,1
10912,W_Completeren aanvraag4,4.428571428571429,1
10912,W_Completeren aanvraag5,4.666666666666667,1
10912,W_Completeren aanvraag6,1.0,1
10912,W_Nabellen incomplete dossiers0,4.916666666666667,1
10912,W_Nabellen incomplete dossiers1,4.666666666666667,1
10912,W_Nabellen incomplete dossiers2,4.555555555555555,1
10912,W_Nabellen incomplete dossiers3,4.833333333333333,1
10912,W_Nabellen incomplete dossiers4,4.0,1
10912,W_Nabellen incomplete dossiers5,6.0,1
10912,W_Nabellen offertes0,4.666666666666667,1
10912,W_Nabellen offertes1,5.0588235294117645,1
10912,W_Nabellen offertes2,4.2,1
10912,W_Nabellen offertes3,4.625,1
10912,W_Nabellen offertes4,6.0,1
10912,W_Nabellen offertes5,4.0,1
10912,W_Valideren aanvraag0,7.0,1
10912,W_Valideren aanvraag1,3.5,1
10912,W_Valideren aanvraag2,2.0,1
10912,W_Valideren aanvraag3,5.0,1
10913,W_Afhandelen leads1,4.0,1
10913,W_Afhandelen leads2,6.0,1
10913,W_Completeren aanvraag0,4.638888888888889,1
10913,W_Completeren aanvraag1,4.488888888888889,1
10913,W_Completeren aanvraag2,4.8,1
10913,W_Completeren aanvraag3,4.0,1
10913,W_Completeren aanvraag4,4.5,1
10913,W_Completeren aanvraag5,5.0,1
10913,W_Completeren aanvraag6,6.0,1
10913,W_Nabellen incomplete dossiers0,4.873239436619718,1
10913,W_Nabellen incomplete dossiers1,4.52542372881356,1
10913,W_Nabellen incomplete dossiers2,4.589743589743589,1
10913,W_Nabellen incomplete dossiers3,4.583333333333333,1
10913,W_Nabellen incomplete dossiers4,5.071428571428571,1
10913,W_Nabellen incomplete dossiers5,5.125,1
10913,W_Nabellen incomplete dossiers6,5.0,1
10913,W_Nabellen offertes0,4.673913043478261,1
10913,W_Nabellen offertes1,4.577464788732394,1
10913,W_Nabellen offertes2,4.621621621621622,1
10913,W_Nabellen offertes3,4.605263157894737,1
10913,W_Nabellen offertes4,4.666666666666667,1
10913,W_Nabellen offertes5,4.555555555555555,1
10913,W_Nabellen offertes7,3.3333333333333335,1
10913,W_Valideren aanvraag1,6.5,1
10913,W_Valideren aanvraag5,6.0,1
10931,W_Afhandelen leads0,3.6666666666666665,1
10931,W_Afhandelen leads1,5.0,1
10931,W_Afhandelen leads2,1.0,1
10931,W_Afhandelen leads3,5.0,1
10931,W_Afhandelen leads5,5.0,1
10931,W_Completeren aanvraag0,4.176470588235294,1
10931,W_Completeren aanvraag1,4.0,1
10931,W_Completeren aanvraag2,4.666666666666667,1
10931,W_Completeren aanvraag3,4.6,1
10931,W_Completeren aanvraag4,4.0,1
10931,W_Completeren aanvraag5,4.0,1
10931,W_Nabellen incomplete dossiers0,4.230769230769231,1
10931,W_Nabellen incomplete dossiers1,4.137931034482759,1
10931,W_Nabellen incomplete dossiers2,4.375,1
10931,W_Nabellen incomplete dossiers3,5.0,1
10931,W_Nabellen incomplete dossiers4,5.0,1
10931,W_Nabellen incomplete dossiers5,5.333333333333333,1
10931,W_Nabellen incomplete dossiers6,6.0,1
10931,W_Nabellen offertes0,3.875,1
10931,W_Nabellen offertes1,3.7272727272727275,1
10931,W_Nabellen offertes2,4.8,1
10931,W_Nabellen offertes3,3.75,1
10931,W_Nabellen offertes4,5.0,1
10931,W_Nabellen offertes5,4.666666666666667,1
10932,W_Afhandelen leads0,4.375,1
10932,W_Afhandelen leads1,4.2272727272727275,1
10932,W_Afhandelen leads2,4.25,1
10932,W_Afhandelen leads3,5.0,1
10932,W_Afhandelen leads4,5.0,1
10932,W_Afhandelen leads5,5.0,1
10932,W_Completeren aanvraag0,4.0,1
10932,W_Completeren aanvraag1,4.530612244897959,1
10932,W_Completeren aanvraag2,4.583333333333333,1
10932,W_Completeren aanvraag3,4.555555555555555,1
10932,W_Completeren aanvraag4,4.666666666666667,1
10932,W_Nabellen incomplete dossiers0,4.6,1
10932,W_Nabellen incomplete dossiers1,4.346153846153846,1
10932,W_Nabellen incomplete dossiers2,4.0,1
10932,W_Nabellen incomplete dossiers3,4.375,1
10932,W_Nabellen incomplete dossiers4,5.0,1
10932,W_Nabellen incomplete dossiers5,4.714285714285714,1
10932,W_Nabellen incomplete dossiers6,5.0,1
10932,W_Nabellen offertes0,3.9047619047619047,1
10932,W_Nabellen offertes1,4.535714285714286,1
10932,W_Nabellen offertes2,4.090909090909091,1
10932,W_Nabellen offertes3,4.25,1
10932,W_Nabellen offertes5,4.666666666666667,1
10932,W_Nabellen offertes6,7.0,1
10932,W_Valideren aanvraag2,6.0,1
10932,W_Valideren aanvraag3,6.0,1
10932,W_Valideren aanvraag4,6.0,1
10933,W_Afhandelen leads0,4.571428571428571,1
10933,W_Afhandelen leads1,4.428571428571429,1
10933,W_Afhandelen leads2,5.166666666666667,1
10933,W_Completeren aanvraag0,4.746031746031746,1
10933,W_Completeren aanvraag1,4.806451612903226,1
10933,W_Completeren aanvraag2,4.206896551724138,1
10933,W_Completeren aanvraag3,3.9375,1
10933,W_Completeren aanvraag4,4.2,1
10933,W_Completeren aanvraag5,4.6,1
10933,W_Completeren aanvraag6,5.0,1
10933,W_Completeren aanvraag7,1.0,1
10933,W_Nabellen incomplete dossiers0,4.0,1
10933,W_Nabellen incomplete dossiers1,3.6,1
10933,W_Nabellen incomplete dossiers2,4.25,1
10933,W_Nabellen incomplete dossiers3,4.5,1
10933,W_Nabellen incomplete dossiers5,5.0,1
10933,W_Nabellen offertes0,4.757575757575758,1
10933,W_Nabellen offertes1,4.148148148148148,1
10933,W_Nabellen offertes2,4.947368421052632,1
10933,W_Nabellen offertes3,4.846153846153846,1
10933,W_Nabellen offertes4,3.75,1
10933,W_Nabellen offertes5,4.75,1
10933,W_Nabellen offertes7,5.0,1
10935,W_Afhandelen leads0,5.0,1
10935,W_Afhandelen leads2,3.75,1
10935,W_Afhandelen leads5,0.0,1
10935,W_Afhandelen leads7,2.0,1
10935,W_Completeren aanvraag0,4.166666666666667,1
10935,W_Completeren aanvraag1,4.0,1
10935,W_Completeren aanvraag2,3.6666666666666665,1
10935,W_Completeren aanvraag3,5.0,1
10935,W_Completeren aanvraag4,5.0,1
10935,W_Nabellen incomplete dossiers0,5.052631578947368,1
10935,W_Nabellen incomplete dossiers1,4.526315789473684,1
10935,W_Nabellen incomplete dossiers2,4.333333333333333,1
10935,W_Nabellen incomplete dossiers3,3.5,1
10935,W_Nabellen incomplete dossiers5,2.5,1
10935,W_Nabellen incomplete dossiers6,5.0,1
10935,W_Nabellen offertes0,4.25,1
10935,W_Nabellen offertes1,4.7272727272727275,1
10935,W_Nabellen offertes2,4.428571428571429,1
10935,W_Nabellen offertes3,5.0,1
10935,W_Nabellen offertes4,5.0,1
10935,W_Nabellen offertes5,5.0,1
10935,W_Valideren aanvraag0,7.0,1
10972,W_Nabellen incomplete dossiers0,5.75,1
10972,W_Nabellen incomplete dossiers1,4.454545454545454,1
10972,W_Nabellen incomplete dossiers2,4.857142857142857,1
10972,W_Nabellen incomplete dossiers3,4.888888888888889,1
10972,W_Nabellen incomplete dossiers4,4.0,1
10972,W_Nabellen incomplete dossiers5,2.5,1
10972,W_Nabellen incomplete dossiers6,2.6666666666666665,1
10972,W_Nabellen offertes3,6.0,1
10972,W_Nabellen offertes4,0.0,1
10972,W_Valideren aanvraag0,4.326086956521739,1
10972,W_Valideren aanvraag1,4.741176470588235,1
10972,W_Valideren aanvraag2,5.066666666666666,1
10972,W_Valideren aanvraag3,5.315217391304348,1
10972,W_Valideren aanvraag4,4.627906976744186,1
10972,W_Valideren aanvraag5,4.885245901639344,1
10972,W_Valideren aanvraag6,3.0,1
10982,W_Afhandelen leads0,4.913043478260869,1
10982,W_Afhandelen leads1,4.791666666666667,1
10982,W_Afhandelen leads2,5.0,1
10982,W_Afhandelen leads3,5.0,1
10982,W_Afhandelen leads4,5.0,1
10982,W_Afhandelen leads5,5.0,1
10982,W_Completeren aanvraag0,4.37037037037037,1
10982,W_Completeren aanvraag1,4.84,1
10982,W_Completeren aanvraag2,4.5,1
10982,W_Completeren aanvraag3,4.125,1
10982,W_Completeren aanvraag4,4.75,1
10982,W_Completeren aanvraag5,5.0,1
10982,W_Nabellen incomplete dossiers0,4.897435897435898,1
10982,W_Nabellen incomplete dossiers1,4.407407407407407,1
10982,W_Nabellen incomplete dossiers2,4.7727272727272725,1
10982,W_Nabellen incomplete dossiers3,4.454545454545454,1
10982,W_Nabellen incomplete dossiers4,6.0,1
10982,W_Nabellen incomplete dossiers5,4.625,1
10982,W_Nabellen incomplete dossiers6,5.0,1
10982,W_Nabellen offertes0,4.45,1
10982,W_Nabellen offertes1,4.724137931034483,1
10982,W_Nabellen offertes2,4.888888888888889,1
10982,W_Nabellen offertes3,3.4444444444444446,1
10982,W_Nabellen offertes4,5.0,1
10982,W_Nabellen offertes5,5.5,1
10982,W_Nabellen offertes7,5.0,1
10982,W_Valideren aanvraag0,5.0,1
11000,W_Afhandelen leads0,4.5,1
11000,W_Afhandelen leads1,4.95,1
11000,W_Afhandelen leads2,4.428571428571429,1
11000,W_Afhandelen leads3,5.0,1
11000,W_Afhandelen leads5,4.5,1
11000,W_Afhandelen leads7,7.0,1
11000,W_Completeren aanvraag0,4.407407407407407,1
11000,W_Completeren aanvraag1,4.625,1
11000,W_Completeren aanvraag2,4.090909090909091,1
11000,W_Completeren aanvraag3,4.142857142857143,1
